-6.000,1934.920
-6.000,3029.489
-5.549,3051.747
-4.496,3073.989
-2.842,3096.191
-0.350,3120.103
2.878,3143.973
6.841,3167.766
11.538,3191.449
16.961,3214.987
23.106,3238.348
29.961,3261.498
37.516,3284.405
45.758,3307.038
54.672,3329.366
64.406,3351.685
74.855,3373.762
86.009,3395.564
97.857,3417.058
110.386,3438.209
123.581,3458.986
137.426,3479.359
151.900,3499.296
166.983,3518.770
182.652,3537.751
198.883,3556.216
215.649,3574.138
232.925,3591.496
250.681,3608.268
268.887,3624.436
287.705,3640.169
307.064,3655.357
326.942,3669.972
347.313,3683.988
368.150,3697.382
389.424,3710.131
411.103,3722.213
433.158,3733.610
455.555,3744.305
478.260,3754.283
501.239,3763.532
524.456,3772.040
547.877,3779.800
571.465,3786.806
595.183,3793.054
611.880,3796.994
628.668,3800.535
645.534,3803.673
729.229,3818.296
777.231,3825.982
825.313,3833.154
879.009,3840.590
932.819,3847.322
986.728,3853.349
1040.724,3858.667
1094.792,3863.276
1148.919,3867.174
1203.090,3870.359
1257.291,3872.832
1311.507,3874.591
1365.727,3875.638
1419.934,3875.971
1437.224,3875.523
1454.683,3874.359
1472.269,3872.458
1489.938,3869.802
1507.642,3866.376
1525.332,3862.169
1542.959,3857.175
1560.471,3851.391
1577.815,3844.819
1594.939,3837.464
1611.790,3829.339
1628.318,3820.459
1644.471,3810.843
1660.201,3800.518
1675.462,3789.511
1690.211,3777.856
1704.407,3765.589
1718.014,3752.750
1730.998,3739.381
1743.330,3725.527
1754.986,3711.235
1765.944,3696.553
1776.190,3681.530
1785.711,3666.216
1794.501,3650.661
1802.556,3634.913
1809.877,3619.020
1816.470,3603.030
1836.734,3554.688
1856.401,3506.087
1875.467,3457.239
1893.927,3408.154
1911.777,3358.844
1929.013,3309.321
1945.631,3259.595
1961.627,3209.678
1978.011,3156.089
1993.702,3102.238
2008.695,3048.137
2022.985,2993.801
2036.566,2939.242
2049.433,2884.476
2061.581,2829.515
2073.007,2774.374
2083.706,2719.068
2093.675,2663.610
2102.911,2608.016
2111.411,2552.299
2119.173,2496.475
2126.194,2440.558
2132.474,2384.562
2138.011,2328.504
2142.805,2272.396
2146.854,2216.255
2150.159,2160.094
2152.721,2103.929
2154.540,2047.774
2155.617,1991.645
2155.954,1935.555
2155.553,1879.519
2154.460,1822.054
2152.590,1764.573
2149.944,1707.091
2146.521,1649.623
2142.320,1592.186
2137.343,1534.796
2131.589,1477.467
2125.061,1420.216
2117.760,1363.058
2109.688,1306.010
2100.847,1249.086
2091.241,1192.303
2080.873,1135.674
2069.747,1079.217
2057.866,1022.946
2045.236,966.876
2031.673,910.619
2017.346,854.521
2002.258,798.598
1986.413,742.867
1969.815,687.341
1952.466,632.036
1934.373,576.969
1915.540,522.152
1895.971,467.602
1875.674,413.333
1854.654,359.360
1832.917,305.697
1810.470,252.358
1803.192,236.418
1795.173,220.612
1786.411,204.989
1776.908,189.597
1766.669,174.489
1755.706,159.713
1744.032,145.322
1731.667,131.363
1718.636,117.886
1704.967,104.937
1690.692,92.561
1675.847,80.798
1660.475,69.687
1644.617,59.263
1628.322,49.557
1611.637,40.594
1594.615,32.397
1577.307,24.983
1559.767,18.364
1542.050,12.548
1524.209,7.538
1506.298,3.332
1488.368,-0.076
1470.470,-2.697
1452.653,-4.546
1434.963,-5.640
1417.444,-6.000
1366.914,-5.706
1316.387,-4.778
1265.876,-3.218
1215.393,-1.025
1161.365,2.087
1107.361,5.875
1053.393,10.341
999.476,15.482
945.620,21.299
891.840,27.791
838.147,34.955
784.554,42.789
731.074,51.293
677.720,60.462
624.503,70.295
600.128,75.733
575.902,81.952
551.861,88.944
528.042,96.700
504.482,105.211
481.217,114.461
458.280,124.436
435.706,135.118
414.072,146.211
392.723,157.998
371.692,170.468
351.010,183.609
330.710,197.406
310.822,211.841
253.927,258.777
235.975,275.558
218.571,292.865
201.738,310.671
185.497,328.949
169.866,347.668
154.863,366.799
140.248,386.639
126.216,406.993
112.795,427.836
100.008,449.138
87.880,470.872
76.430,493.007
65.679,515.510
55.643,538.347
46.339,561.485
37.777,584.889
29.970,608.522
22.926,632.348
16.650,656.331
11.146,680.432
6.416,704.616
2.736,727.073
-0.305,749.644
-2.702,772.302
-4.451,795.019
-5.550,817.768
-6.000,840.520
